# Logfile created on 2026-07-09 23:17:09 +0200 by logger.rb/v1.5.3
2026-07-09 23:17:09 +0200: Memory Usage (452756K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/CP/vbias/vbias.gds
2026-07-09 23:17:09 +0200: Memory Usage (452756K) : Ruby Version for klayout: 3.2.3
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : Loading database to memory is complete.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/CP/vbias/drc_run_vbias/vbias_vbias_main.lyrdb
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : Evaluate switches.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : tables selected: main
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : KLayout will use 1 thread(s) in tiling mode.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : deep mode is enabled.
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_iopc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : biwind_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : biwind_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : pemwind_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : gatpoly_drw has 34 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : gatpoly_pin has 8 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : gatpoly_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : gatpoly_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : gatpoly_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : gatpoly_iopc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : gatpoly_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : cont_drw has 234 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : cont_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : nsd_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : nsd_block has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455820K) : metal1_drw has 137 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455820K) : metal1_pin has 58 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455948K) : metal1_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456076K) : metal1_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456076K) : metal1_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456076K) : metal1_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456204K) : metal1_text has 3 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456332K) : metal1_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456332K) : metal1_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456460K) : metal1_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456460K) : metal1_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456460K) : metal1_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456588K) : passiv_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456588K) : passiv_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456716K) : passiv_sbump has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456716K) : passiv_pillar has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456844K) : passiv_pdl has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456844K) : metal2_drw has 41 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456844K) : metal2_pin has 3 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456972K) : metal2_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (456972K) : metal2_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457100K) : metal2_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457100K) : metal2_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457100K) : metal2_text has 3 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457228K) : metal2_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457228K) : metal2_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457356K) : metal2_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457484K) : metal2_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457484K) : metal2_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457612K) : baspoly_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457612K) : baspoly_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457612K) : psd_drw has 27 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457740K) : nldb_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457740K) : digibnd_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457868K) : via1_drw has 17 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457868K) : backmetal1_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457996K) : backmetal1_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457996K) : backmetal1_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (457996K) : backmetal1_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458124K) : backmetal1_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458124K) : backmetal1_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458252K) : backmetal1_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458252K) : backmetal1_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458380K) : backmetal1_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458380K) : backmetal1_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458508K) : backmetal1_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458508K) : backmetal1_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458508K) : backpassiv_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458636K) : res_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458636K) : sram_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458764K) : trans_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458764K) : ind_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458892K) : ind_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (458892K) : ind_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459020K) : salblock_drw has 2 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459020K) : via2_drw has 8 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459148K) : metal3_drw has 15 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459276K) : metal3_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459276K) : metal3_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459404K) : metal3_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459404K) : metal3_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459404K) : metal3_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459532K) : metal3_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459532K) : metal3_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459660K) : metal3_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459660K) : metal3_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459660K) : metal3_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459788K) : metal3_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459916K) : nwell_drw has 22 polygons
2026-07-09 23:17:09 +0200: Memory Usage (459916K) : nwell_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460044K) : nbulay_drw has 17 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460044K) : nbulay_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460172K) : nbulay_block has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460172K) : emwind_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460300K) : emwind_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460300K) : deepco_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460428K) : deepco_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460428K) : mim_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460556K) : edgeseal_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460684K) : edgeseal_bound has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460684K) : substrate_drw has 3 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460812K) : substrate_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460812K) : dfpad_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460812K) : dfpad_pillar has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460940K) : dfpad_sbump has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (460940K) : thickgateox_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461068K) : pldb_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461068K) : pwell_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461068K) : pwell_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461196K) : pwell_block has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461196K) : ic_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461324K) : via3_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461452K) : metal4_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461452K) : metal4_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461452K) : metal4_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461580K) : metal4_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461580K) : metal4_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461708K) : metal4_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461708K) : metal4_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461836K) : metal4_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461836K) : metal4_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461836K) : metal4_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (461964K) : metal4_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462092K) : metal4_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462092K) : heattrans_drw has 11 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462220K) : heatres_drw has 2 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462220K) : pempoly_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462348K) : fbe_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462348K) : empoly_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462348K) : ldmos_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462476K) : pbiwind_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462604K) : digisub_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462604K) : nodrc_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462732K) : text_drw has 13 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462732K) : via4_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462860K) : metal5_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462860K) : metal5_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462860K) : metal5_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462988K) : metal5_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (462988K) : metal5_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463116K) : metal5_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463116K) : metal5_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463244K) : metal5_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463244K) : metal5_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463244K) : metal5_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463372K) : metal5_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463372K) : metal5_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463500K) : radhard_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463628K) : memcap_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463756K) : varicap_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463756K) : flash_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463756K) : intbondvia_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463884K) : intbondmet_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (463884K) : devbondvia_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464012K) : devbondmet_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464012K) : devtrench_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464140K) : redist_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464140K) : graphbot_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464140K) : graphtop_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464268K) : antvia1_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464268K) : antmetal2_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464396K) : graphcont_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464396K) : siwg_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464524K) : siwg_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464524K) : siwg_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464652K) : sigrating_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464652K) : singrating_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464780K) : graphpas_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464780K) : emwind3_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464908K) : emwihv3_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (464908K) : redbulay_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465036K) : smos_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465036K) : graphpad_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465036K) : polimide_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465164K) : polimide_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465292K) : recog_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465292K) : recog_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465420K) : recog_esd has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465420K) : recog_diode has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465420K) : recog_tsv has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465548K) : recog_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465548K) : recog_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465676K) : recog_pillar has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465676K) : recog_sbump has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465804K) : recog_otp has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465804K) : recog_pdiode has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465804K) : recog_mom has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465932K) : recog_pcm has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465932K) : colopen_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (465932K) : graphmetal1_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466060K) : graphmetal1_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466060K) : graphmetal1_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466060K) : graphmetal1_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466060K) : graphmetal1_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466188K) : graphmet1l_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466188K) : graphmet1l_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466188K) : graphmet1l_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466316K) : graphmet1l_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466316K) : graphmet1l_opc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466316K) : extblock_drw has 6 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466444K) : nldd_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466444K) : pldd_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466444K) : next_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466572K) : pext_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466572K) : nexthv_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466700K) : pexthv_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466700K) : graphgate_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466700K) : sinwg_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466828K) : sinwg_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466828K) : sinwg_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466956K) : mempad_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466956K) : topvia1_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (466956K) : topmetal1_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467084K) : topmetal1_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467084K) : topmetal1_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467212K) : topmetal1_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467212K) : topmetal1_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467212K) : topmetal1_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467340K) : topmetal1_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467340K) : topmetal1_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467340K) : topmetal1_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467340K) : topmetal1_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467468K) : topmetal1_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467468K) : inldpwl_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467468K) : polyres_drw has 2 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467596K) : polyres_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467596K) : vmim_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467724K) : nbulaycut_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467724K) : antmetal1_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467724K) : topvia2_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467852K) : topmetal2_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467852K) : topmetal2_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467980K) : topmetal2_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467980K) : topmetal2_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (467980K) : topmetal2_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468108K) : topmetal2_slit has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468108K) : topmetal2_text has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468236K) : topmetal2_noqrc has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468236K) : topmetal2_res has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468236K) : topmetal2_iprobe has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468364K) : topmetal2_diffprb has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468364K) : snsring_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468492K) : sensor_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468492K) : snsarms_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468620K) : snscmosvia_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468620K) : colwind_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468620K) : flm_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468748K) : hafniumox_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468748K) : memvia_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468876K) : thinfilmres_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (468876K) : rfmem_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469004K) : norcx_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469004K) : norcx_m2m3 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469004K) : norcx_m2m4 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469132K) : norcx_m2m5 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469132K) : norcx_m2tm1 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469260K) : norcx_m2tm2 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469260K) : norcx_m3m4 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469388K) : norcx_m3m5 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469388K) : norcx_m3tm1 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469516K) : norcx_m3tm2 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469516K) : norcx_m4m5 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469516K) : norcx_m4tm1 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469516K) : norcx_m4tm2 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469516K) : norcx_m5tm1 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469516K) : norcx_m5tm2 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469644K) : norcx_tm1tm2 has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469644K) : norcx_m1sub has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469644K) : norcx_m2sub has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469644K) : norcx_m3sub has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469772K) : norcx_m4sub has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469772K) : norcx_m5sub has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469772K) : norcx_tm1sub has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469900K) : norcx_tm2sub has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469900K) : snsbotvia_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (469900K) : snstopvia_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470028K) : deepvia_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470028K) : fgetch_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470028K) : ctrgat_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470028K) : fgimp_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470156K) : emwihv_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470156K) : lbe_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470156K) : alcustop_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470284K) : nometfiller_drw has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (470284K) : prboundary_drw has 0 polygons
